experience_level,employment_type,jobs,salary_in_usd,work_setting,company_location,company_size
Senior,Full-time,Data Management and Strategy,165000,Remote,US,L
Entry-level,Full-time,Data Engineering,80000,Remote,US,L
Executive,Full-time,Data Science and Research,250000,In-person,US,L
Entry-level,Full-time,BI and Visualization,55000,Hybrid,US,S
Mid-level,Full-time,Data Architecture and Modeling,150000,Remote,US,L
Mid-level,Full-time,Data Architecture and Modeling,170000,Remote,US,L
Mid-level,Full-time,Data Engineering,82528,Remote,GB,L
Entry-level,Full-time,Data Analysis,60000,Remote,US,S
Senior,Full-time,Data Science and Research,235000,Remote,US,L
Senior,Full-time,Data Science and Research,60757,Hybrid,PT,L
Senior,Full-time,Leadership and Management,174000,Remote,US,L
Mid-level,Full-time,Data Scientist,2859,In-person,MX,S
Mid-level,Full-time,Data Scientist,40038,Remote,CL,L
Entry-level,Full-time,Machine Learning and AI,81000,Hybrid,US,S
Mid-level,Full-time,Data Scientist,5679,Remote,US,S
Mid-level,Full-time,Data Engineering,22611,In-person,IN,L
Mid-level,Full-time,Data Scientist,90734,Hybrid,DE,L
Mid-level,Full-time,Data Engineering,26005,In-person,US,L
Senior,Full-time,Data Analysis,61896,Hybrid,GB,L
Mid-level,Freelance,Machine Learning and AI,12000,Hybrid,PK,M
Mid-level,Full-time,Data Engineering,4000,Remote,IR,M
Senior,Full-time,Data Engineering,50000,Remote,GB,M
Executive,Full-time,Data Architecture and Modeling,69741,Remote,ES,S
Senior,Full-time,Data Engineering,76833,Hybrid,GB,S
Mid-level,Full-time,Machine Learning and AI,74000,Hybrid,JP,S
Senior,Full-time,Leadership and Management,152000,Remote,FR,L
Entry-level,Full-time,Machine Learning and AI,21844,Hybrid,CO,M
Mid-level,Full-time,Data Engineering,18000,In-person,MD,S
Senior,Full-time,Leadership and Management,174000,Remote,US,L
Senior,Full-time,Data Science and Research,96113,Hybrid,CA,L
Mid-level,Full-time,Data Scientist,147000,Hybrid,US,L
Entry-level,Full-time,BI and Visualization,9272,Remote,KE,S
Senior,Full-time,Machine Learning and AI,24342,Remote,IN,L
Senior,Full-time,Leadership and Management,54094,Hybrid,US,L
Entry-level,Full-time,Data Architecture and Modeling,90000,Remote,US,S
Mid-level,Full-time,Data Scientist,61467,Hybrid,AT,M
Senior,Full-time,Machine Learning and AI,195000,Remote,US,M
Mid-level,Full-time,Data Scientist,37825,Remote,ES,L
Senior,Full-time,Data Science and Research,50000,Remote,US,S
Mid-level,Full-time,Data Scientist,160000,Remote,US,L
Mid-level,Full-time,Data Scientist,12901,In-person,BR,S
Senior,Full-time,Machine Learning and AI,200000,Remote,US,L
Senior,Full-time,Data Engineering,165000,In-person,US,M
Mid-level,Freelance,Data Engineering,20000,In-person,US,L
Senior,Full-time,Leadership and Management,120000,In-person,US,L
Mid-level,Full-time,Machine Learning and AI,24823,Hybrid,SI,L
Mid-level,Full-time,Data Science and Research,56738,Hybrid,FR,S
Mid-level,Full-time,Data Engineering,66022,Hybrid,GB,S
Entry-level,Full-time,Data Engineering,5882,In-person,CH,L
Entry-level,Full-time,Machine Learning and AI,24823,Hybrid,DE,M
Senior,Full-time,Data Engineering,185000,Remote,US,L
Entry-level,Part-time,Computer Vision,28609,Hybrid,DK,S
Mid-level,Full-time,Data Scientist,90734,Hybrid,DE,L
Mid-level,Full-time,Machine Learning and AI,88654,Remote,BE,M
Senior,Full-time,Leadership and Management,140000,Remote,US,L
Mid-level,Full-time,Machine Learning and AI,46597,Remote,PL,L
Mid-level,Full-time,Data Scientist,116914,Hybrid,GB,L
Mid-level,Full-time,Data Scientist,33808,In-person,IN,M
Mid-level,Full-time,Data Scientist,56256,Hybrid,GB,L
Senior,Full-time,Machine Learning and AI,225000,Remote,CA,L
Senior,Full-time,Data Scientist,87738,Remote,CA,S
Mid-level,Full-time,Data Scientist,88654,Hybrid,DE,L
Senior,Full-time,Data Scientist,135000,In-person,US,L
Senior,Full-time,Data Analysis,71786,Remote,CA,M
Entry-level,Full-time,Data Engineering,16228,Remote,IN,L
Senior,Full-time,Machine Learning and AI,256000,Remote,US,S
Senior,Full-time,Data Engineering,200000,Remote,US,L
Senior,Full-time,Data Analysis,200000,Remote,US,L
Mid-level,Full-time,Data Architecture and Modeling,180000,Remote,US,L
Mid-level,Full-time,Data Science and Research,110000,In-person,US,S
Mid-level,Full-time,Data Science and Research,63810,Remote,CA,M
Mid-level,Full-time,Data Scientist,46809,Remote,ES,M
Entry-level,Full-time,Data Scientist,4000,In-person,VN,M
Entry-level,Full-time,Data Engineering,21637,Hybrid,IN,M
Senior,Full-time,Data Scientist,103691,Remote,CA,L
Mid-level,Full-time,Data Analysis,80000,Remote,US,L
Mid-level,Full-time,Data Engineering,110000,Remote,US,L
Senior,Full-time,Data Scientist,165000,Remote,US,L
Entry-level,Full-time,Machine Learning and AI,18053,Remote,AS,S
Mid-level,Full-time,Data Engineering,72212,Hybrid,GB,L
Entry-level,Full-time,Data Scientist,36643,Hybrid,FR,L
Mid-level,Full-time,Data Engineering,12103,In-person,TR,M
Senior,Full-time,Data Engineering,96282,Hybrid,GB,L
Senior,Full-time,Data Analysis,170000,Remote,US,M
Mid-level,Full-time,Data Scientist,115000,Hybrid,US,L
Entry-level,Full-time,Data Scientist,90000,Remote,US,S
Entry-level,Full-time,Data Scientist,28399,Remote,IN,M
Mid-level,Full-time,Data Analysis,93000,Remote,US,L
Senior,Full-time,Data Architecture and Modeling,99703,Hybrid,CA,M
Mid-level,Full-time,Data Engineering,200000,Remote,US,L
Senior,Full-time,Data Science and Research,173762,Remote,DE,M
Senior,Full-time,Machine Learning and AI,185000,Hybrid,US,L
Executive,Full-time,Data Science and Research,141846,In-person,DE,L
Mid-level,Full-time,Data Scientist,130000,Hybrid,US,L
Senior,Full-time,Data Analysis,63831,Hybrid,DE,L
Mid-level,Full-time,Data Scientist,16904,Remote,IN,S
Senior,Full-time,Machine Learning and AI,66265,In-person,IN,L
Mid-level,Full-time,Data Scientist,25532,Remote,DE,S
Senior,Full-time,Data Engineering,160000,Hybrid,US,S
Mid-level,Full-time,Data Engineering,93150,In-person,US,M
Mid-level,Full-time,Data Engineering,111775,In-person,US,M
Mid-level,Full-time,Data Engineering,28016,Remote,TR,M
Entry-level,Full-time,Data Engineering,65013,Hybrid,DE,M
Entry-level,Full-time,Data Engineering,72500,Remote,US,L
Senior,Full-time,Computer Vision,18907,In-person,BR,M
Entry-level,Full-time,Data Architecture and Modeling,76833,In-person,DE,L
Entry-level,Full-time,Machine Learning and AI,85000,Remote,DE,S
Senior,Full-time,Data Scientist,77684,Hybrid,FR,M
Entry-level,Full-time,Data Scientist,100000,Remote,US,M
Entry-level,Full-time,Data Scientist,58000,Hybrid,US,L
Senior,Full-time,Machine Learning and AI,55000,Remote,ES,L
Senior,Full-time,Data Scientist,20171,Hybrid,TR,L
Entry-level,Full-time,BI and Visualization,59102,Remote,LU,L
Mid-level,Full-time,Data Engineering,112000,Remote,US,L
Entry-level,Full-time,Data Science and Research,100000,In-person,CN,L
Mid-level,Part-time,Data Engineering,69741,Remote,NL,L
Senior,Contract,Data Science and Research,105000,Remote,US,M
Mid-level,Full-time,Data Science and Research,69999,Hybrid,CZ,L
Senior,Full-time,Leadership and Management,94665,Hybrid,IN,L
Senior,Full-time,Data Quality and Operations,102839,Remote,SI,L
Mid-level,Full-time,Data Scientist,109000,Hybrid,US,L
Mid-level,Full-time,Machine Learning and AI,51064,Hybrid,IT,L
Senior,Full-time,Data Engineering,135000,Remote,US,M
Senior,Full-time,Data Analysis,155000,Remote,US,M
Senior,Full-time,Data Analysis,120600,Remote,US,M
Mid-level,Full-time,Data Scientist,130000,In-person,US,M
Mid-level,Full-time,Data Scientist,90000,In-person,US,M
Mid-level,Full-time,Data Engineering,170000,Remote,US,M
Mid-level,Full-time,Data Engineering,150000,Remote,US,M
Senior,Full-time,Data Analysis,102100,Remote,US,M
Senior,Full-time,Data Analysis,84900,Remote,US,M
Senior,Full-time,Data Scientist,136620,Remote,US,M
Senior,Full-time,Data Scientist,99360,Remote,US,M
Senior,Full-time,Data Scientist,117789,In-person,GB,M
Senior,Full-time,Data Scientist,104702,In-person,GB,M
Senior,Full-time,Data Scientist,146000,Remote,US,M
Senior,Full-time,Data Scientist,123000,Remote,US,M
Entry-level,Full-time,Data Engineering,52351,Remote,GB,M
Senior,Full-time,Data Analysis,99000,In-person,US,M
Senior,Full-time,Data Analysis,116000,In-person,US,M
Mid-level,Full-time,Data Analysis,106260,In-person,US,M
Mid-level,Full-time,Data Analysis,126500,In-person,US,M
Executive,Full-time,Data Engineering,242000,Remote,US,M
Executive,Full-time,Data Engineering,200000,Remote,US,M
Mid-level,Full-time,Data Scientist,65438,In-person,GB,M
Mid-level,Full-time,Data Scientist,39263,In-person,GB,M
Mid-level,Full-time,Data Engineering,78526,In-person,GB,M
Mid-level,Full-time,Data Engineering,52351,In-person,GB,M
Senior,Full-time,Data Scientist,165220,Remote,US,M
Entry-level,Full-time,Data Engineering,45807,Remote,GB,M
Senior,Full-time,Data Scientist,120160,Remote,US,M
Senior,Full-time,Data Analysis,90320,Remote,US,M
Senior,Full-time,Data Engineering,181940,In-person,US,M
Senior,Full-time,Data Engineering,132320,In-person,US,M
Senior,Full-time,Data Engineering,220110,In-person,US,M
Senior,Full-time,Data Engineering,160080,In-person,US,M
Senior,Full-time,Data Scientist,180000,In-person,US,L
Senior,Full-time,Data Scientist,120000,In-person,US,L
Senior,Full-time,Data Analysis,124190,Remote,US,M
Executive,Full-time,Data Analysis,130000,Remote,US,M
Executive,Full-time,Data Analysis,110000,Remote,US,M
Senior,Full-time,Data Analysis,170000,Remote,US,M
Mid-level,Full-time,Data Analysis,115500,Remote,US,M
Senior,Full-time,Data Analysis,112900,Remote,US,M
Senior,Full-time,Data Analysis,90320,Remote,US,M
Senior,Full-time,Data Analysis,112900,Remote,US,M
Senior,Full-time,Data Analysis,90320,Remote,US,M
Senior,Full-time,Data Engineering,165400,Remote,US,M
Senior,Full-time,Data Engineering,132320,Remote,US,M
Mid-level,Full-time,Data Analysis,167000,Remote,US,M
Senior,Full-time,Data Engineering,243900,Remote,US,M
Senior,Full-time,Data Analysis,136600,Remote,US,M
Senior,Full-time,Data Analysis,109280,Remote,US,M
Senior,Full-time,Data Engineering,128875,Remote,US,M
Senior,Full-time,Data Engineering,93700,Remote,US,M
Executive,Full-time,Data Science and Research,224000,Remote,US,M
Executive,Full-time,Data Science and Research,167875,Remote,US,M
Executive,Full-time,Data Analysis,175000,Remote,US,M
Senior,Full-time,Data Engineering,156600,Remote,US,M
Senior,Full-time,Data Engineering,108800,In-person,US,M
Senior,Full-time,Data Scientist,95550,In-person,US,M
Senior,Full-time,Data Engineering,113000,In-person,US,L
Senior,Full-time,Data Analysis,135000,Remote,US,M
Senior,Full-time,Leadership and Management,161342,Remote,US,M
Senior,Full-time,Leadership and Management,137141,Remote,US,M
Senior,Full-time,Data Scientist,167000,Remote,US,M
Senior,Full-time,Data Scientist,123000,Remote,US,M
Senior,Full-time,Data Engineering,78526,In-person,GB,M
Senior,Full-time,Data Engineering,65438,In-person,GB,M
Senior,Full-time,Data Scientist,150000,In-person,US,M
Senior,Full-time,Data Scientist,211500,Remote,US,M
Senior,Full-time,Data Architecture and Modeling,192400,Remote,CA,M
Senior,Full-time,Data Architecture and Modeling,90700,Remote,CA,M
Senior,Full-time,Data Analysis,130000,Remote,CA,M
Senior,Full-time,Data Analysis,61300,Remote,CA,M
Senior,Full-time,Data Analysis,130000,Remote,CA,M
Senior,Full-time,Data Analysis,61300,Remote,CA,M
Senior,Full-time,Data Engineering,160000,In-person,US,L
Senior,Full-time,Data Scientist,138600,Remote,US,M
Senior,Full-time,Data Engineering,136000,In-person,US,M
Mid-level,Full-time,Data Analysis,58000,In-person,US,S
Executive,Full-time,Data Analysis,135000,Remote,US,M
Senior,Full-time,Data Scientist,170000,Remote,US,M
Senior,Full-time,Data Scientist,123000,Remote,US,M
Senior,Full-time,Machine Learning and AI,189650,In-person,US,M
Senior,Full-time,Machine Learning and AI,164996,In-person,US,M
Mid-level,Full-time,Data Architecture and Modeling,54957,In-person,GR,M
Mid-level,Full-time,Data Architecture and Modeling,54957,In-person,GR,M
Executive,Full-time,Data Engineering,118187,Remote,CA,S
Senior,Full-time,Data Analysis,132000,In-person,US,M
Senior,Full-time,Data Engineering,165400,Remote,US,M
Senior,Full-time,Data Architecture and Modeling,208775,Remote,US,M
Senior,Full-time,Data Architecture and Modeling,147800,Remote,US,M
Senior,Full-time,Data Engineering,136994,Remote,US,M
Senior,Full-time,Data Engineering,101570,Remote,US,M
Senior,Full-time,Data Analysis,128875,Remote,US,M
Senior,Full-time,Data Analysis,93700,Remote,US,M
Executive,Full-time,Machine Learning and AI,79039,Hybrid,IN,L
Senior,Full-time,Data Engineering,132320,Remote,US,M
Entry-level,Full-time,Machine Learning and AI,37300,Remote,GB,L
Senior,Full-time,Data Analysis,164000,In-person,US,M
Senior,Full-time,Data Engineering,155000,Remote,US,M
Mid-level,Full-time,Machine Learning and AI,124333,In-person,GB,M
Mid-level,Full-time,Machine Learning and AI,98158,In-person,GB,M
Mid-level,Full-time,Machine Learning and AI,120000,In-person,US,M
Senior,Full-time,Data Analysis,112900,Remote,US,M
Senior,Full-time,Data Analysis,90320,Remote,US,M
Senior,Full-time,Leadership and Management,145000,Remote,US,M
Senior,Full-time,Leadership and Management,105400,Remote,US,M
Mid-level,Full-time,Machine Learning and AI,87932,Remote,DE,M
Mid-level,Full-time,Data Engineering,117789,In-person,GB,M
Senior,Full-time,Data Scientist,215300,Remote,US,L
Senior,Full-time,Data Scientist,158200,Remote,US,L
Senior,Full-time,Data Engineering,209100,Remote,US,L
Senior,Full-time,Data Engineering,154600,Remote,US,L
Senior,Full-time,Data Analysis,115934,In-person,US,M
Senior,Full-time,Data Analysis,81666,In-person,US,M
Senior,Full-time,Data Engineering,175000,Remote,US,M
Mid-level,Full-time,Data Engineering,98158,In-person,GB,M
Mid-level,Full-time,Data Analysis,58000,In-person,US,S
Senior,Full-time,Data Engineering,183600,Remote,US,L
Mid-level,Full-time,Data Analysis,52351,Remote,GB,M
Senior,Full-time,Data Scientist,180000,Remote,US,M
Mid-level,Full-time,Data Scientist,71982,In-person,GB,M
Mid-level,Full-time,Data Scientist,45807,In-person,GB,M
Mid-level,Full-time,Data Engineering,65949,Remote,GR,M
Mid-level,Full-time,Data Engineering,49461,Remote,GR,M
Mid-level,Full-time,Data Engineering,78526,Remote,GB,M
Mid-level,Full-time,Data Engineering,58894,Remote,GB,M
Senior,Full-time,Data Scientist,260000,Remote,US,M
Senior,Full-time,Data Science and Research,60000,Remote,MX,L
Mid-level,Full-time,Data Engineering,63900,In-person,US,M
Mid-level,Full-time,Machine Learning and AI,160000,Remote,US,L
Mid-level,Full-time,Machine Learning and AI,112300,Remote,US,L
Mid-level,Full-time,Leadership and Management,241000,Remote,US,M
Mid-level,Full-time,Leadership and Management,159000,Remote,US,M
Senior,Full-time,Data Scientist,180000,In-person,US,M
Senior,Full-time,Data Scientist,80000,In-person,US,M
Mid-level,Full-time,Data Engineering,82900,In-person,US,M
Senior,Full-time,Data Engineering,100800,Remote,US,L
Mid-level,Full-time,Data Engineering,49461,Remote,ES,M
Senior,Full-time,Data Scientist,140400,In-person,US,L
Mid-level,Full-time,Data Analysis,39263,Remote,GB,M
Mid-level,Full-time,Data Analysis,43966,Remote,ES,M
Mid-level,Full-time,Data Analysis,32974,Remote,ES,M
Mid-level,Full-time,Data Engineering,87932,Remote,ES,M
Mid-level,Full-time,Data Engineering,76940,Remote,ES,M
Mid-level,Full-time,Data Engineering,104702,Remote,GB,M
Mid-level,Full-time,Data Engineering,91614,Remote,GB,M
Mid-level,Full-time,Data Engineering,65949,Remote,ES,M
Mid-level,Full-time,Data Engineering,87932,Remote,GR,M
Senior,Full-time,Machine Learning and AI,189650,In-person,US,M
Senior,Full-time,Machine Learning and AI,164996,In-person,US,M
Mid-level,Full-time,Data Analysis,43966,Remote,GR,M
Mid-level,Full-time,Data Analysis,32974,Remote,GR,M
Mid-level,Full-time,Data Engineering,98158,Remote,GB,M
Mid-level,Full-time,Data Engineering,78526,Remote,GB,M
Senior,Full-time,Data Scientist,215300,In-person,US,L
Mid-level,Full-time,Data Engineering,76940,Remote,GR,M
Senior,Full-time,Data Engineering,209100,Remote,US,L
Senior,Full-time,Data Engineering,154600,Remote,US,L
Senior,Full-time,Data Engineering,180000,Remote,US,M
Entry-level,Full-time,Machine Learning and AI,21983,Remote,PT,L
Senior,Full-time,Data Engineering,80000,Remote,US,M
Mid-level,Full-time,Machine Learning and AI,78791,Remote,CA,M
Executive,Full-time,Data Science and Research,196979,Hybrid,CA,L
Mid-level,Full-time,Machine Learning and AI,120000,Remote,US,S
Entry-level,Full-time,Computer Vision,125000,In-person,US,M
Mid-level,Full-time,Machine Learning and AI,37236,Hybrid,US,L
Senior,Full-time,Data Engineering,105000,Remote,US,M
Senior,Full-time,Machine Learning and AI,87932,In-person,DE,M
Mid-level,Full-time,BI and Visualization,18442,Remote,IN,M
Mid-level,Full-time,Data Scientist,31615,Remote,IN,L
Mid-level,Full-time,Machine Learning and AI,58255,Hybrid,PT,L
Entry-level,Full-time,Data Analysis,100000,Hybrid,US,L
Mid-level,Part-time,Data Engineering,54957,Hybrid,DE,L
Entry-level,Full-time,Data Scientist,18442,Remote,IN,M
Senior,Full-time,Data Science and Research,162674,Remote,DE,M
Entry-level,Full-time,Data Engineering,120000,Remote,US,M
Senior,Full-time,Data Science and Research,144000,Hybrid,US,L
Senior,Full-time,Data Scientist,104890,Remote,US,M
Senior,Full-time,Data Engineering,100000,Remote,US,M
Senior,Full-time,Data Scientist,140000,Remote,US,M
Mid-level,Full-time,Data Analysis,135000,Remote,US,M
Mid-level,Full-time,Data Analysis,50000,Remote,US,M
Senior,Full-time,Data Scientist,220000,Remote,US,M
Senior,Full-time,Data Scientist,140000,Remote,US,M
Mid-level,Full-time,Data Scientist,183228,In-person,GB,M
Mid-level,Full-time,Data Scientist,91614,In-person,GB,M
